ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Meta: _deal_sales_counts,Meta: _deal_quantity,Meta: _sizechart_select,Meta: _video_select,Meta: _extra_info,Meta: inline_featured_image,Meta: om_disable_all_campaigns,Meta: woosw_count,Meta: woosw_add,Meta: woosw_remove,Meta: _wp_page_template,Meta: yikes_woo_products_tabs,Meta: rs_page_bg_color,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global
6848,simple,,Digital Advertising Screen,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.",,,,taxable,,1,,,0,0,,,,,1,,,,"All Product, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Digital-add-screen_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Digital-Add-Screen_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Digital-Add-Screen_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Digital-Add-Screen_04.webp",,,,,,,,,0,,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical, Wall mount",1,1,resolution,1920x1080,1,1,viewing Angle,178 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"HTML, JPG, MP4",1,1,pixel pitch,0.2775 H × 0.276 W,1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,touch screen,Multi points touch,1,1,warranty,1 year,1,1,0,,,,,0,,,,,default,"a:1:{i:0;a:3:{s:5:""title"";s:22:""Additional Information"";s:2:""id"";s:22:""additional-information"";s:7:""content"";s:0:"""";}}",,,,,,,,,,,,,,,,,,,,,
6849,simple,,Dual Screen Digital Signage,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Dual-Screen-Signage_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Dual-Screen-Signage_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Dual-Screen-Signage_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Dual-Screen-Signage_04.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Dual-Screen-Signage_05.webp",,,,,,,,,0,,name,Dual Screen Digital Signage,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical, Wall mount",1,1,resolution,1920x1080,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"HTML, JPG, MP4",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,touch screen,Multi points touch,1,1,0,,,,,0,,,,,,,,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,,,,,
6850,simple,,Digital Menu Card,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Picture1.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Picture2.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Picture3.webp",,,,,,,,,0,,name,Digital Menu Card,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical, Wall mount",1,1,resolution,1920x1080,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"HTML, JPG, MP4",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"HDMI, Micro USB, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,"a:1:{i:0;a:3:{s:5:""title"";s:23:""Additional Informations"";s:2:""id"";s:23:""additional-informations"";s:7:""content"";s:607:""<table>
  <tr>
    <th><b>Place of Orgin</b></th>
    <td>ED in House</td>
  </tr>
  <tr>
    <th><b>Fabrication</b></th>
    <td>Aluminum, Metal, Wood</td>
  </tr>
<tr>
    <td><b>unit type</b></td>
    <td>table top/counter portable</td>
  </tr>
<tr>
    <td><b>Branding Logo</b></td>
    <td>As per request</td>
  </tr>
<tr>
    <td><b>Color</b></td>
    <td>Black, Custom, Silver</td>
  </tr>
<tr>
    <td><b>Delivery Time</b></td>
    <td>10-15 days</td>
  </tr>
<tr>
    <td><b>After Sale Service</b></td>
    <td>Provided online as well as offline</td>
  </tr>
</table>
"";}}",,touch screen,Multi points touch,1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,
6851,simple,,Digital Conferencing Tab,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Picture4.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Picture5.webp",,,,,,,,,0,,name,Digital Conferencing Tab,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical, Wall mount",1,1,resolution,1920x1080,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"HTML, JPG, MP4",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"HDMI, Micro USB, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,,,touch screen,Multi points touch,1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,
6852,simple,,Counter Menu,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/counter-menu_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/counter-menu_02.webp",,,,,,,,,0,,name,Counter Menu,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical",1,1,resolution,800×1280,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"JPeG, MPEG-1\,2\,4, Support upto 1080p, VP8",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"Power jack-DC Power input, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,,,touch screen,Multi points touch,1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,
6853,simple,,Shelf Strip Screen,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Self-strip-screen_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Self-Strip-Screen_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Self-Strip-Screen_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Self-Strip-Screen_04.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Self-Strip-Screen_05.webp",,,,,,,,,0,,name,Shelf Strip Screen,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical",1,1,resolution,800×1280,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"JPeG, MPEG-1\,2\,4, Support upto 1080p, VP8",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"Power jack-DC Power input, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,100 AC -240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,,,touch screen,Multi points touch,1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,
6854,simple,,Table Menu Tab,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Table-Menu-Tab_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Table-Menu-Tab_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Table-Menu-Tab_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Table-Menu-Tab_04.webp",,,,,,,,,0,,name,Table Menu Tab,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical",1,1,resolution,800×1280,1,1,viewing Angle,85 degree,1,1,brightness,250 cd/m²,1,1,response time,6ms,1,1,Video/Intractive format,"JPeG, MPEG-1\,2\,4, Support upto 1080p, VP8",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"HDMI, USB",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,1.5AC - 240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,,,touch screen,"IR touch, Multi points touch",1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,,,,,
6855,simple,,"10"" Digital Bar Kiosk",1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/10-inch-digital-bar-kiosk_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/10-inch-digital-bar-kiosk_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/10-inch-digital-bar-kiosk_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/10-inch-digital-bar-kiosk_04.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/10-inch-digital-bar-kiosk_05.webp",,,,,,,,,0,,name,"10"" Digital Bar Kiosk",1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical",1,1,resolution,800×1280,1,1,viewing Angle,85 degree,1,1,brightness,250 cd/m²,1,1,response time,6ms,1,1,Video/Intractive format,"JPeG, MPEG-1\,2\,4, Support upto 1080p, VP8",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,interface,"HDMI, USB",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,Input voltage,1.5AC - 240V,1,1,optional function,Touch screen,1,1,0,,,,,0,,1,1682319513,,,,,maximum memory,2GB & Internal memory - 8GB,1,0,touch screen,"IR touch, Multi points touch",1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,
6856,simple,,Celling Mount Display,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/celling-mount_01.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/celling-mount_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/celling-mount_03.webp",,,,,,,,,0,,name,Celling Mount Display,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Counter portable, Horizontal, Vertical",1,1,resolution,1920x1080,1,1,viewing Angle,85 degree,1,1,brightness,350 cd/m²,1,1,response time,3ms,1,1,Video/Intractive format,"AVI, GIF, JPeG, MP4, PNG, RMVB, Support upto 1080p",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,Input voltage,100 AC -240V,1,1,interface,"Power jack-DC Power input, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,optional function,Touch screen,1,1,0,,,,,0,,,,,,,,maximum memory,2GB & Internal memory - 8GB,1,0,touch screen,"IR touch, Multi points touch",1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,
6857,simple,,Restaurant Top Stand,1,0,visible,"The Experiences.Digital 10.1"" Digital Advertising Screen is a high-quality, durable product perfect for indoor use. It comes in three sizes, has a resolution of 1920x1080 and supports Android and Windows operating systems. It also supports various file formats and has multi-points touch functionality. Additionally, it comes with a 1-year warranty and after-sales support services.","The 10.1” Digital Advertising Screen by Experiences.Digital is a high-quality digital signage solution that is perfect for indoor use. Made with top-of-the-line materials such as aluminium, metal or wood, it is a durable and long-lasting product that can be mounted on a counter, wall or placed horizontally/vertically. This screen comes in three sizes - 7inch, 10inch, 15inch and 19inch, and has a resolution of 1920×1080 with a viewing angle of 178 degrees. It supports Android and Windows operating systems, and has a brightness of 350 cd/m2 with a response time of 3ms.\n\nThe Digital Advertising Screen supports various file formats including HTML, JPG, and MP4, making it easy for businesses to showcase their products and services in different formats. It also has multi-points touch functionality, which enables users to interact with the content being displayed on the screen. The screen's input voltage range is 100 AC - 240V and it has an HDMI interface for easy connectivity.\n\nThe 10.1” Digital Advertising Screen also comes with a 1-year warranty and after-sales support services that are available online/offline. The product's branding logo can be customized as per request, and it is available in black/silver or custom colors. Overall, this product is an excellent choice for businesses looking to elevate their digital marketing and advertising efforts.",,,taxable,,1,,,0,0,,,,,1,,,,"All Product, Outdoor Signage, trending products",,,"https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_03.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_06.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_05.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_04.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_02.webp, https://experiences.digital/edigital-signage/wp-content/uploads/2023/03/Restaurant-Top-Stand_01.webp",,,,,,,,,0,,name,Restaurant Top Stand,1,0,brand,Experiences.Digital,1,1,place of origin,ED in house,1,1,provided,"Offline, Online",1,1,after sales services provided,Online Support,1,1,application,Indoor,1,1,installation,"Horizontal, Top Table, Vertical",1,1,resolution,800×1280,1,1,viewing Angle,89 degree,1,1,brightness,450 cd/m²,1,1,response time,4ms,1,1,Video/Intractive format,"AVI, GIF, JPeG, MP4, PNG, RMVB, Support upto 1080p",1,1,color,"Black, Custom, Silver",1,1,size,"10inch, 15inch, 19inch, 7inch",1,1,Input voltage,100 AC -240V,1,1,interface,"Power jack-DC Power input, USB Type C",1,1,branding logo,As per request,1,1,fabrication,"Aluminum, Metal, Wood",1,1,optional function,Touch screen,1,1,0,,,,,0,,0,1682665435,1682672938,,,,maximum memory,2GB & Internal memory - 8GB,1,0,touch screen,"IR touch, Multi points touch",1,1,internet connectivity,"Hotspot, Internet, Wifi",1,1,warranty,1 year,1,1,,,,
